B19013_001E,B19013_001M,GEO_ID,NAME
Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),id,Geographic Area Name
43155,7549,1400000US36005038301,"Census Tract 383.01, Bronx County, New York"
20519,3893,1400000US36005038302,"Census Tract 383.02, Bronx County, New York"
26509,6248,1400000US36005038500,"Census Tract 385, Bronx County, New York"
51798,19240,1400000US36005038600,"Census Tract 386, Bronx County, New York"
35970,8933,1400000US36005038700,"Census Tract 387, Bronx County, New York"
63017,10475,1400000US36005038800,"Census Tract 388, Bronx County, New York"
37028,6132,1400000US36005038900,"Census Tract 389, Bronx County, New York"
45738,8471,1400000US36005039000,"Census Tract 390, Bronx County, New York"
31985,11720,1400000US36005039100,"Census Tract 391, Bronx County, New York"
50723,5764,1400000US36005039200,"Census Tract 392, Bronx County, New York"
19808,3211,1400000US36005039300,"Census Tract 393, Bronx County, New York"
48023,8783,1400000US36005039400,"Census Tract 394, Bronx County, New York"
29000,9564,1400000US36005039500,"Census Tract 395, Bronx County, New York"
44458,8473,1400000US36005039600,"Census Tract 396, Bronx County, New York"
33854,12931,1400000US36005039700,"Census Tract 397, Bronx County, New York"
80024,17531,1400000US36005039800,"Census Tract 398, Bronx County, New York"
28049,6066,1400000US36005039901,"Census Tract 399.01, Bronx County, New York"
36683,6565,1400000US36005039902,"Census Tract 399.02, Bronx County, New York"
37012,6200,1400000US36005040100,"Census Tract 401, Bronx County, New York"
37759,5814,1400000US36005040302,"Census Tract 403.02, Bronx County, New York"
37043,3533,1400000US36005040303,"Census Tract 403.03, Bronx County, New York"
25897,12404,1400000US36005040304,"Census Tract 403.04, Bronx County, New York"
79442,15815,1400000US36005040400,"Census Tract 404, Bronx County, New York"
37935,7409,1400000US36005040501,"Census Tract 405.01, Bronx County, New York"
29670,7302,1400000US36005040502,"Census Tract 405.02, Bronx County, New York"
49671,21346,1400000US36005040600,"Census Tract 406, Bronx County, New York"
34695,9994,1400000US36005040701,"Census Tract 407.01, Bronx County, New York"
37275,8405,1400000US36005040702,"Census Tract 407.02, Bronx County, New York"
31110,7584,1400000US36005040800,"Census Tract 408, Bronx County, New York"
52956,7753,1400000US36005040900,"Census Tract 409, Bronx County, New York"
41587,8639,1400000US36005041100,"Census Tract 411, Bronx County, New York"
53032,6453,1400000US36005041300,"Census Tract 413, Bronx County, New York"
49545,11001,1400000US36005041400,"Census Tract 414, Bronx County, New York"
43538,15240,1400000US36005041500,"Census Tract 415, Bronx County, New York"
39712,13089,1400000US36005041800,"Census Tract 418, Bronx County, New York"
35837,6651,1400000US36005041900,"Census Tract 419, Bronx County, New York"
42689,9366,1400000US36005042000,"Census Tract 420, Bronx County, New York"
38083,9266,1400000US36005042100,"Census Tract 421, Bronx County, New York"
60500,18357,1400000US36005042200,"Census Tract 422, Bronx County, New York"
38802,5542,1400000US36005042300,"Census Tract 423, Bronx County, New York"
86422,10664,1400000US36005042400,"Census Tract 424, Bronx County, New York"
31723,5544,1400000US36005042500,"Census Tract 425, Bronx County, New York"
85023,14662,1400000US36005042600,"Census Tract 426, Bronx County, New York"
82599,7363,1400000US36005042800,"Census Tract 428, Bronx County, New York"
40024,16138,1400000US36005042901,"Census Tract 429.01, Bronx County, New York"
35956,14706,1400000US36005042902,"Census Tract 429.02, Bronx County, New York"
63324,19550,1400000US36005043000,"Census Tract 430, Bronx County, New York"
35995,5558,1400000US36005043100,"Census Tract 431, Bronx County, New York"
62000,18784,1400000US36005043400,"Census Tract 434, Bronx County, New York"
27813,18637,1400000US36005043500,"Census Tract 435, Bronx County, New York"
66250,22484,1400000US36005043600,"Census Tract 436, Bronx County, New York"
55000,12555,1400000US36005044200,"Census Tract 442, Bronx County, New York"
77740,9515,1400000US36005044400,"Census Tract 444, Bronx County, New York"
96875,19783,1400000US36005044800,"Census Tract 448, Bronx County, New York"
69200,13993,1400000US36005044901,"Census Tract 449.01, Bronx County, New York"
80833,25067,1400000US36005044902,"Census Tract 449.02, Bronx County, New York"
81094,16423,1400000US36005045101,"Census Tract 451.01, Bronx County, New York"
75089,16401,1400000US36005045102,"Census Tract 451.02, Bronx County, New York"
93472,25288,1400000US36005045600,"Census Tract 456, Bronx County, New York"
24341,4935,1400000US36005045800,"Census Tract 458, Bronx County, New York"
31932,15801,1400000US36005046000,"Census Tract 460, Bronx County, New York"
52601,6731,1400000US36005046201,"Census Tract 462.01, Bronx County, New York"
62532,25016,1400000US36005046202,"Census Tract 462.02, Bronx County, New York"
74958,14167,1400000US36005048400,"Census Tract 484, Bronx County, New York"
-,**,1400000US36005050400,"Census Tract 504, Bronx County, New York"
96366,21453,1400000US36005051600,"Census Tract 516, Bronx County, New York"
96250,12924,1400000US36047000100,"Census Tract 1, Kings County, New York"
56080,22498,1400000US36047000200,"Census Tract 2, Kings County, New York"
137157,19590,1400000US36047000301,"Census Tract 3.01, Kings County, New York"
133750,23331,1400000US36047000501,"Census Tract 5.01, Kings County, New York"
146574,15934,1400000US36047000502,"Census Tract 5.02, Kings County, New York"
160272,15519,1400000US36047000700,"Census Tract 7, Kings County, New York"
169255,22947,1400000US36047000900,"Census Tract 9, Kings County, New York"
142813,16162,1400000US36047001100,"Census Tract 11, Kings County, New York"
109208,9040,1400000US36047001300,"Census Tract 13, Kings County, New York"
87237,34157,1400000US36047001500,"Census Tract 15, Kings County, New York"
-,**,1400000US36047001800,"Census Tract 18, Kings County, New York"
45511,23789,1400000US36047002000,"Census Tract 20, Kings County, New York"
228276,41394,1400000US36047002100,"Census Tract 21, Kings County, New York"
41811,8452,1400000US36047002200,"Census Tract 22, Kings County, New York"
18387,2461,1400000US36047002300,"Census Tract 23, Kings County, New York"
29651,4561,1400000US36047002901,"Census Tract 29.01, Kings County, New York"
88750,14337,1400000US36047003000,"Census Tract 30, Kings County, New York"
116250,16001,1400000US36047003100,"Census Tract 31, Kings County, New York"
136250,20855,1400000US36047003300,"Census Tract 33, Kings County, New York"
78833,13092,1400000US36047003400,"Census Tract 34, Kings County, New York"
112917,44862,1400000US36047003500,"Census Tract 35, Kings County, New York"
69632,21414,1400000US36047003600,"Census Tract 36, Kings County, New York"
155682,16275,1400000US36047003700,"Census Tract 37, Kings County, New York"
81576,15009,1400000US36047003800,"Census Tract 38, Kings County, New York"
105000,23308,1400000US36047003900,"Census Tract 39, Kings County, New York"
166339,42600,1400000US36047004100,"Census Tract 41, Kings County, New York"
137095,21825,1400000US36047004300,"Census Tract 43, Kings County, New York"
118594,2694,1400000US36047004400,"Census Tract 44, Kings County, New York"
148064,8568,1400000US36047004500,"Census Tract 45, Kings County, New York"
131806,39270,1400000US36047004600,"Census Tract 46, Kings County, New York"
119500,23819,1400000US36047004700,"Census Tract 47, Kings County, New York"
134706,33545,1400000US36047004900,"Census Tract 49, Kings County, New York"
131042,15396,1400000US36047005000,"Census Tract 50, Kings County, New York"
147188,27075,1400000US36047005100,"Census Tract 51, Kings County, New York"
-,**,1400000US36047005201,"Census Tract 52.01, Kings County, New York"
77240,23424,1400000US36047005202,"Census Tract 52.02, Kings County, New York"
104583,12996,1400000US36047005300,"Census Tract 53, Kings County, New York"
77569,5815,1400000US36047005400,"Census Tract 54, Kings County, New York"
85923,13476,1400000US36047005601,"Census Tract 56.01, Kings County, New York"
74167,18326,1400000US36047005602,"Census Tract 56.02, Kings County, New York"
64875,17175,1400000US36047005800,"Census Tract 58, Kings County, New York"
71042,14757,1400000US36047005900,"Census Tract 59, Kings County, New York"
100324,14341,1400000US36047006000,"Census Tract 60, Kings County, New York"
83387,20528,1400000US36047006200,"Census Tract 62, Kings County, New York"
124853,34376,1400000US36047006300,"Census Tract 63, Kings County, New York"
76694,12709,1400000US36047006400,"Census Tract 64, Kings County, New York"
165859,10996,1400000US36047006500,"Census Tract 65, Kings County, New York"
70250,11054,1400000US36047006600,"Census Tract 66, Kings County, New York"
171477,21811,1400000US36047006700,"Census Tract 67, Kings County, New York"
56768,14478,1400000US36047006800,"Census Tract 68, Kings County, New York"
154625,11920,1400000US36047006900,"Census Tract 69, Kings County, New York"
78906,20386,1400000US36047007000,"Census Tract 70, Kings County, New York"
40938,20618,1400000US36047007100,"Census Tract 71, Kings County, New York"
