year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36081101001,11.2,10.6,11.8,9943,"
,  
(40.596775963, -73.7491076606)",36081101001,081,Queens,101001
2017,3651000-36061004400,8.2,7.9,8.8,16538,"
,  
(40.7289623829, -73.9713699222)",36061004400,061,Manhattan,004400
2017,3651000-36081145101,7.7,7.2,8.2,1360,"
,  
(40.7551380725, -73.7846965065)",36081145101,081,Queens,145101
2017,3651000-36047016900,8.4,7.9,9.2,4497,"
,  
(40.6592927383, -73.981283812)",36047016900,047,Brooklyn,016900
2017,3651000-36081037500,8.6,8,9.3,3783,"
,  
(40.7513541396, -73.8700126476)",36081037500,081,Queens,037500
2017,3651000-36085004700,9.6,8.9,10.7,3863,"
,  
(40.6141852245, -74.0947394819)",36085004700,085,Staten Island,004700
2017,3651000-36005004100,11.9,11.1,12.8,6127,"
,  
(40.8113855796, -73.9194099886)",36005004100,005,Bronx,004100
2017,3651000-36047112600,12.3,11.5,13.2,3783,"
,  
(40.6648985926, -73.8931118137)",36047112600,047,Brooklyn,112600
2017,3651000-36047053900,11.9,10.9,13,2756,"
,  
(40.7026476826, -73.9625586619)",36047053900,047,Brooklyn,053900
2017,3651000-36061028700,8.7,8.2,9.2,4035,"
,  
(40.8656112932, -73.9363042097)",36061028700,061,Manhattan,028700
2017,3651000-36081052100,9.1,8.5,9.7,1983,"
,  
(40.7208537134, -73.9015199532)",36081052100,081,Queens,052100
2017,3651000-36047117202,9.8,9.2,10.4,3907,"
,  
(40.6827365098, -73.8837649686)",36047117202,047,Brooklyn,117202
2017,3651000-36005018500,12,11.3,12.8,7466,"
,  
(40.8267063137, -73.9074678118)",36005018500,005,Bronx,018500
2017,3651000-36047022000,11.3,10.4,12.4,4939,"
,  
(40.6361633351, -73.9955593996)",36047022000,047,Brooklyn,022000
2017,3651000-36047049200,9.3,8.9,9.8,3495,"
,  
(40.6409071066, -73.9702046708)",36047049200,047,Brooklyn,049200
2017,3651000-36047085400,11.9,11.1,12.9,2052,"
,  
(40.6446728162, -73.942549921)",36047085400,047,Brooklyn,085400
2017,3651000-36047052800,8.5,8,9.1,1818,"
,  
(40.630847144, -73.9626085991)",36047052800,047,Brooklyn,052800
2017,3651000-36047119800,10.3,9.8,10.9,3426,"
,  
(40.6763147439, -73.8943855737)",36047119800,047,Brooklyn,119800
2017,3651000-36081003300,7.3,7,7.7,2474,"
,  
(40.7543878994, -73.9380942659)",36081003300,081,Queens,003300
2017,3651000-36081045400,7.8,7.5,8.3,4773,"
,  
(40.7126429742, -73.7960123509)",36081045400,081,Queens,045400
2017,3651000-36047006600,8.7,8.3,9.3,3663,"
,  
(40.632130888, -74.0274984942)",36047006600,047,Brooklyn,006600
2017,3651000-36047050700,10.4,9.7,11.3,2288,"
,  
(40.7014079769, -73.9470118252)",36047050700,047,Brooklyn,050700
2017,3651000-36005009000,11.2,10.6,12,3667,"
,  
(40.8147682543, -73.8410808029)",36005009000,005,Bronx,009000
2017,3651000-36081116700,8,7.6,8.5,2067,"
,  
(40.7621734343, -73.8124434338)",36081116700,081,Queens,116700
2017,3651000-36047032800,10.1,9.5,10.6,3138,"
,  
(40.5763672168, -73.9976846228)",36047032800,047,Brooklyn,032800
2017,3651000-36047082000,12.7,11.9,13.8,5281,"
,  
(40.6534530649, -73.9513097032)",36047082000,047,Brooklyn,082000
