boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,shapearea2,prop_area_15hundredths
"2","2002500",Bronx,E,"002500","25",BX39,Mott Haven-Port Morris,"3710",1372151.4126299999188631772994995117188,5019.2822252400001161731779575347900,127478.776,1.000
"2","2003900",Bronx,E,"003900","39",BX39,Mott Haven-Port Morris,"3710",2326464.7504500001668930053710937500000,7427.7783496499996545026078820228577,216138.610,0.996
"1","1004000",Manhattan,I,"004000","40",MN22,East Village,"3809",1927636.9731399999000132083892822265625,5563.5626885800002128235064446926117,179085.104,1.000
"1","1006100",Manhattan,I,"006100","61",MN23,West Village,"3810",1528504.0427000001072883605957031250000,5022.8220416100002694292925298213959,142004.105,1.000
"1","1006900",Manhattan,I,"006900","69",MN23,West Village,"3810",2350754.0416100001893937587738037109375,7535.3254240400001435773447155952454,218394.349,0.949
"2","2023900",Bronx,E,"023900","239",BX40,Fordham South,"3707",1913175.0711099999025464057922363281250,7305.9283730500001183827407658100128,177742.300,1.000
"2","2002701",Bronx,E,"002701","27.01",BX39,Mott Haven-Port Morris,"3710",875817.5690359999425709247589111328125,4100.5137307900004088878631591796875,81367.220,1.000
"2","2002702",Bronx,E,"002702","27.02",BX39,Mott Haven-Port Morris,"3710",1677797.8987400000914931297302246093750,6087.9004733800002213683910667896271,155874.648,0.992
"2","2017701",Bronx,E,"017701","177.01",BX14,East Concourse-Concourse Village,"3708",1147267.5927200000733137130737304687500,5248.0996636399995622923597693443298,106586.151,0.733
"1","1008100",Manhattan,I,"008100","81",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1875912.3364099999889731407165527343750,5683.3934322799996152753010392189026,174279.791,1.000
"1","1017500",Manhattan,I,"017500","175",MN12,Upper West Side,"3806",2318094.0044599999673664569854736328125,6483.8037346600003729690797626972198,215360.805,0.587
"1","1017900",Manhattan,I,"017900","179",MN12,Upper West Side,"3806",2278484.2694000001065433025360107421875,6438.4905941799997890484519302845001,211680.911,0.584
"1","1017300",Manhattan,I,"017300","173",MN12,Upper West Side,"3806",1921881.1686100000515580177307128906250,5735.8953025600003456929698586463928,178550.928,0.985
"2","2041300",Bronx,E,"041300","413",BX05,Bedford Park-Fordham North,"3706",1865502.7242300000507384538650512695312,6383.2613754200001494609750807285309,173313.305,0.290
"2","2041900",Bronx,E,"041900","419",BX43,Norwood,"3706",3505470.5565100000239908695220947265625,8588.7233902400002989452332258224487,325673.424,0.290
"2","2041500",Bronx,E,"041500","415",BX05,Bedford Park-Fordham North,"3706",1471378.0198699999600648880004882812500,5181.1932175199999619508162140846252,136697.415,0.483
"2","2042500",Bronx,E,"042500","425",BX43,Norwood,"3706",3154915.5866299998015165328979492187500,8348.9772570599998289253562688827515,293105.371,0.830
"2","2005600",Bronx,E,"005600","56",BX08,West Farms-Bronx River,"3709",1511686.1342199998907744884490966796875,5033.5199898000000757747329771518707,140442.218,0.230
"2","2006200",Bronx,E,"006200","62",BX08,West Farms-Bronx River,"3709",2035611.0451599999796599149703979492188,7175.7134045900002092821523547172546,189115.559,0.676
"2","2003700",Bronx,E,"003700","37",BX39,Mott Haven-Port Morris,"3710",1787327.2705900000873953104019165039062,5545.8141693899997335392981767654419,166050.419,0.425
"2","2039902",Bronx,E,"039902","399.02",BX05,Bedford Park-Fordham North,"3706",1309646.2805000001098960638046264648438,5160.3705734699997265124693512916565,121671.844,0.960
"2","2022701",Bronx,E,"022701","227.01",BX41,Mount Hope,"3707",1243186.9813200000207871198654174804688,4863.0602478800001335912384092807770,115497.489,0.924
"2","2023301",Bronx,E,"023301","233.01",BX41,Mount Hope,"3707",1272774.3809199999086558818817138671875,4498.0120517200002723257057368755341,118246.288,0.729
"2","2019700",Bronx,E,"019700","197",BX63,West Concourse,"3708",1592663.2440700000151991844177246093750,5397.6378176500002155080437660217285,147965.086,0.785
"2","2038900",Bronx,E,"038900","389",BX06,Belmont,"3705",1860955.2492299999576061964035034179688,5457.1989824299998872447758913040161,172890.853,0.685
"2","2006000",Bronx,I,"006000","60",BX75,Crotona Park East,"3705",3416186.7592600001953542232513427734375,7812.7108317599995643831789493560791,317378.331,1.000
"1","1019500",Manhattan,I,"019500","195",MN09,Morningside Heights,"3802",2338296.4690000000409781932830810546875,6579.7408201199996256036683917045593,217237.790,0.758
"1","1019900",Manhattan,I,"019900","199",MN09,Morningside Heights,"3802",2406577.2241400000639259815216064453125,6655.7080325300003096344880759716034,223581.381,0.762
"4","4071100",Queens,I,"071100","711",QN17,Forest Hills,"4108",3951136.0054100002162158489227294921875,12845.6853592999996180878952145576477,367075.933,0.347
"4","4072300",Queens,I,"072300","723",QN17,Forest Hills,"4108",5060335.8691899999976158142089843750000,10411.7297464999992371303960680961609,470124.158,0.003
